DATE,AAPL,AMZN,CSCO,DELL,EBAY,GOOG,HPQ,IBM,INTC,MSFT,ORCL,YHOO,MARKET,CASH
730513,-0.076182,-0.078428,-0.025793,-0.008253,-0.041445,NaN,0.002304,-0.017093,-0.041989,-0.005063,-0.085505,-0.070781,-0.02622,0.000211413
730516,0.02096,0.046523,0.054202,0.031946,0.016942,NaN,-0.004598,0.006185,0.052553,-0.003868,0.054242,0.027305,0.018779,0.000215416
730517,-0.033735,0.04461,0.07589,0.013007,0.005864,NaN,-0.02254,-0.020045,0.025268,0.051803,0.081081,-0.014531,0.009188,0.000213597
730518,-0.014364,0.029656,-0.033444,-0.020801,0.000398,NaN,0.044892,0.031818,-0.013604,-0.020692,0.005741,0.033461,-0.003316,0.000211777
730519,0.045542,0.212414,0.034601,0.009704,0.092715,NaN,0.026592,0.031894,0.041575,0.027874,0.043823,0.098323,0.001016,0.000210685
730520,0.045397,-0.066873,0.028096,0,0.018545,NaN,0.039648,-0.012807,0.005375,0.028373,0.019757,-0.018737,-0.004507,0.000212141
730523,0.056111,-0.045316,0.033603,-0.022597,0.008925,NaN,0.088983,-0.012974,0.030453,0.000563,0.036845,0.001414,-0.005292,0.000213961
730524,0.007102,0.108267,0.004952,-0.015147,0.001121,NaN,-0.033541,0.042149,0.00806,0.031139,-0.00634,0.05404,0.004806,0.000212869
730525,-0.019587,-0.034528,0.023845,-0.040475,-0.033873,NaN,-0.00153,-0.01212,-0.038507,-0.054029,0.00638,-0.028998,-0.023107,0.000211777
730526,0.007814,-0.050592,0.055353,0.091114,-0.009878,NaN,0.016129,0.01491,0.028675,0.019231,0.03954,0.007425,-0.00519,0.000212141
730527,-0.04185,0,-0.036781,-0.049485,-0.055426,NaN,-0.036746,-0.031481,-0.016261,-0.05717,-0.042048,-0.061123,-0.020233,0.000211777
730530,0.06492,-0.022969,-0.00336,-0.011931,0.00489,NaN,0.01343,0.005981,0.037782,-0.003202,0.041883,-0.032653,0.009076,0.000212505
730531,0.027545,-0.008463,-0.019157,0.039517,-0.036528,NaN,0.014228,0.009133,0.019387,-0.01064,-0.013025,0.025641,0.018845,0.000215052
730532,-0.041008,-0.042271,-0.006484,0.003168,-0.052593,NaN,0.0501,-0.011697,-0.042946,-0.009537,-0.002118,-0.049647,-0.014258,0.000214325
730533,0.006572,-0.023907,0.026185,0.070789,0.032412,NaN,-0.022901,0.008639,0.026215,0.020488,0.006204,0.010089,-0.004435,0.000214689
730534,-0.031514,-0.061594,-0.035939,-0.015483,-0.055077,NaN,0.007813,-0.036403,-0.042091,-0.045774,-0.049813,-0.043262,-0.028061,0.000215052
730538,0.023011,-0.018378,-0.014864,-0.006241,-0.020036,NaN,-0.007752,-0.013333,0.013097,-0.01315,0.012807,-0.014859,0.008349,0.000217598
730539,0.021439,NaN,0.118525,0.039437,0.15197,NaN,0.021484,-0.02027,0.021639,0.00469,0.063227,0.080554,-0.0074,0.000217598
730540,-0.009032,0.076778,-0.009955,0.024166,0.058474,NaN,-0.00956,0.016092,0.047588,0.005305,-0.017761,0.011191,-0.013016,0.000217235
730541,-0.041927,0.010082,-0.032787,-0.026664,-0.080427,NaN,-0.037683,-0.022624,-0.008753,-0.036306,0.140136,-0.017077,-0.02284,0.000216507
730544,0.026094,-0.048893,-0.016497,-0.006061,-0.038127,NaN,0.034184,-0.032407,-0.00777,0.002738,-0.028321,-0.019674,0.018126,0.000216871
730545,0.012097,0.047452,0.012485,-0.004634,-0.011581,NaN,0.043606,-0.016746,0.005606,-0.023919,0.082046,-0.013894,0.008931,0.000216144
730546,0.136887,-0.04356,-0.003782,0.054153,0.04094,NaN,-0.006468,-0.024331,0.025398,0.016113,-0.037037,-0.007452,0.001092,0.000215416
730547,-0.063771,-0.05025,0.008049,0.04463,0.005896,NaN,0.002769,0.028628,-0.001036,0.028191,-0.041958,-0.022461,0.002662,0.000215416
730548,0.04918,-0.000959,0.03533,0.02915,-0.004196,NaN,0.034552,0.047324,0.030238,0.029453,0.094891,0.01975,0.0199,0.000216507
730551,-0.018047,0.02304,-0.009531,0.010811,0.080669,NaN,0.05677,-0.045741,-0.015765,-0.05722,0.01,0.085823,-0.01878,0.000218689
730552,-0.022436,-0.006881,-0.029898,-0.02139,0.007737,NaN,-0.023891,-0.000582,-0.013803,0.024829,-0.010693,-0.001049,-0.0368,0.000217962
730553,-0.007081,0.00189,0.002423,0.026011,0.130152,NaN,-0.014825,0.031553,-0.006998,0.028965,0.109154,0.032793,0.006176,0.000217962
730554,0.002049,0.081578,0.052349,0.074563,-0.008152,NaN,0.078081,0.016471,0.029842,0.046463,0.010587,0.035311,0.015644,0.000217598
730555,0.02863,-0.028048,-0.021032,0.016059,0.058904,NaN,-0.032526,-0.025463,0.015376,0.01,-0.028333,-0.028322,-0.008182,0.000219415
730558,-0.035308,-0.023475,-0.001393,0.068293,0.085382,NaN,-0.002994,0.023183,0.016058,-0.029703,-0.035163,-0.012636,0.001928,0.000220142
730559,-0.058198,0.004747,-0.032602,0.021735,0.005959,NaN,-0.046075,0.008636,-0.034802,-0.029388,-0.022222,-0.040157,-0.013661,0.000219415
730560,0.017505,-0.028497,-0.023681,-0.040222,-0.101801,NaN,-0.055456,-0.014914,0.019683,0.002628,0.021039,-0.060741,0.032665,0.000218689
730561,0.045677,0.039216,0.023634,0.024399,0.158189,NaN,0.007576,0.018692,0.040519,0,0.042228,0.073754,0.049786,0.000219415
730562,0.028299,-0.021736,0.02529,0.026182,-0.002551,NaN,0.045113,0.009174,0.038542,0.041942,-0.025995,0.005523,-0.003327,0.000220142
730565,-0.016,-0.009566,-0.006444,0.022147,-0.104184,NaN,0.037122,0.025,0.039421,-0.020127,-0.021175,0.005201,0.008099,0.000222321
730566,0.097073,0.12759,0.050175,0.005374,0.093662,NaN,-0.014722,0.006652,0.025481,0.055253,0.032898,0.114696,0.021264,0.000220869
730567,0.068549,-0.023349,0.024989,0.002241,0.084522,NaN,0.030378,0.006608,0.040595,0.004866,0.041765,0.02837,-0.003726,0.000220869
730568,-0.019974,-0.042439,0.07785,-0.010838,-0.038989,NaN,0.007251,0.008753,-0.009926,0.083487,0.033429,-0.031391,0.023297,0.000220505
730569,-0.018541,0.073866,0.020049,-0.018435,0.090311,NaN,-0.033073,0.046594,-0.02503,-0.001609,0.001496,0.015707,-0.000641,0.000220869
730572,0.006273,0.005916,0.008693,0.025514,-0.016164,NaN,0.026759,0.051816,0.026104,-0.068314,0.016552,0.034794,-0.007817,0.000219779
730573,-0.003081,-0.041028,-0.027354,-0.034554,-0.066719,NaN,-0.037622,-0.034445,-0.049057,0.002402,-0.021257,-0.028643,-0.008139,0.000219779
730574,-0.022928,-0.055191,-0.023244,-0.037044,-0.110853,NaN,-0.040444,-0.028571,-0.028079,0.02761,-0.046904,-0.092,0.007654,0.000220142
730575,-0.07496,0.003774,-0.03208,-0.030106,0.040854,NaN,-0.031481,0.031513,-0.037003,-0.035638,-0.049212,-0.042697,-0.003491,0.000219779
730576,0.08,0.007519,0.050122,0.033531,-0.150292,NaN,0.013843,-0.035682,0.038898,0.027861,-0.004844,0.011091,-0.005312,0.000219779
730579,-0.018408,-0.051343,-0.056526,-0.010382,-0.18608,NaN,0,0.030667,-0.009929,-0.144753,-0.015245,-0.065644,0.027469,0.000219415
730580,-0.045008,0.005979,0.002468,0.017422,0.165794,NaN,0.042019,-0.006639,0.016229,-0.025421,-0.012098,0.045276,-0.005087,0.000217962
730581,0.024114,-0.027369,-0.013676,-0.007181,-0.006347,NaN,0.028017,0.031438,-0.02162,-0.024729,0.030419,-0.010873,-0.011726,0.000219052
730582,-0.039807,0.033124,-0.004298,-0.043769,0.096782,NaN,0.043169,-0.018,-0.000539,-0.004284,0.050351,-0.069824,0.007397,0.000219779
730583,0.0524,0.051518,0.043587,0.070403,-0.006154,NaN,0.053129,0.003014,0.053925,0.035581,0.059983,-0.018636,-0.000251,0.000220505
730586,-0.051233,-0.061871,-0.031759,-0.013589,-0.139264,NaN,-0.05609,-0.008122,-0.041517,-0.033685,-0.05303,-0.060809,0.006757,0.000218689
730587,-0.04448,0,-0.035281,0.018369,-0.000835,NaN,-0.009779,-0.022519,-0.002898,-0.025447,-0.062182,-0.059462,0.008986,0.000217962
730588,-0.085315,-0.110445,-0.071429,-0.073232,-0.078298,NaN,-0.074138,-0.047081,-0.067916,-0.053654,-0.054931,0.02015,-0.014348,0.000217962
730589,0.041739,-0.148634,-0.059538,0.006033,-0.031873,NaN,-0.022667,-0.027516,-0.006154,-0.001512,-0.016138,-0.000441,-0.01812,0.000217235
730590,-0.017046,-0.023333,-0.067561,-0.078545,0.005403,NaN,-0.067758,-0.050805,-0.087682,-0.064732,-0.117042,-0.147873,-0.056555,0.000217235
730593,0.107267,0.00384,0.166667,0.023515,0.02644,NaN,0.087398,0.065429,0.113122,0.02361,0.177739,-0.014052,0.026853,0.000217598
730594,0.024219,0.167446,0.041353,0.035897,0.137452,NaN,0.039701,-0.003307,0.04878,0.061816,0.055207,0.107721,0.017626,0.000217235
730595,-0.045322,-0.027303,-0.045199,-0.018614,-0.077513,NaN,-0.023371,-0.058296,-0.077054,-0.023213,-0.055485,-0.006472,-0.008438,0.000217235
730596,-0.018577,-0.020022,-0.015124,0.007667,-0.000399,NaN,0.02717,-0.009524,-0.030993,0.003177,-0.050295,-0.021848,0.015953,0.000216507
730600,0.013712,-0.048883,-0.025799,-0.043853,-0.055707,NaN,-0.051541,0.024038,0.006501,-0.156068,0.023019,-0.07513,0.005722,0.000216871
730601,0.064813,0.052801,0.040353,0.070785,0.082323,NaN,0.052906,0.056338,0.076473,0.041279,0.04307,0.093352,0.020055,0.000216507
730602,-0.054555,0.020214,0.011364,-0.022101,-0.028067,NaN,0.008973,-0.017778,-0.03352,-0.019749,-0.0446,-0.043213,-0.016119,0.000215052
730603,0.044844,-0.011589,0.033708,0.035,0.085025,NaN,-0.019067,0.001086,0.037249,0.026618,0.070924,0.04357,-0.005171,0.000215052
730604,-0.021223,0.043684,0.004783,-0.031304,-0.016982,NaN,-0.020888,0.007955,0.01197,-0.000859,0.034019,0.047784,-0.014162,0.000217598
730607,0.002015,0.086066,0.030434,0.018552,-0.022363,NaN,0.02963,0.004484,0.002445,0.052903,-0.003127,0.004837,0.007255,0.000224136
730608,-0.051806,-0.06373,-0.048152,-0.024481,-0.078712,NaN,-0.006763,-0.005625,-0.046649,-0.048611,-0.023591,-0.06357,-0.007461,0.000221232
730609,-0.02384,-0.03546,-0.028529,-0.010038,-0.023574,NaN,-0.040272,-0.029182,-0.017328,0.009875,-0.025704,-0.00408,-0.023263,0.000220869
730610,-0.03798,0.017181,-0.036785,-0.041777,-0.021857,NaN,-0.002792,-0.004624,0.0042,-0.001701,-0.020578,0.01745,-0.006454,0.000220505
730611,0.021953,0.062477,0.064749,0.055661,-0.021469,NaN,0.034966,0.002323,0.031867,0.009654,0.034478,0.012078,0.015881,0.000223047
730614,-0.026521,-0.042393,-0.073801,-0.038893,-0.041045,NaN,-0.007751,0.018634,-0.046608,-0.01842,-0.058586,-0.039303,0.002501,0.000231026
730615,-0.042499,0.004106,0,-0.023571,-0.056887,NaN,-0.021225,-0.006834,-0.005781,-0.028649,-0.004287,-0.027412,-0.006306,0.000229214
730616,-0.058137,-0.052267,-0.067729,-0.039949,-0.084083,NaN,-0.049394,-0.055046,-0.093039,-0.02389,-0.060833,0.012347,-0.015725,0.000229214
730617,0.035243,0.02945,0.029915,-0.005563,0.060811,NaN,0.036673,0.013981,0.089572,0.025381,0.070245,0.053999,0.017613,0.000229214
730618,0.046785,-0.02059,-0.005145,0.116133,0.030234,NaN,0.005196,0,-0.004846,0.01385,0.025149,0.003032,0.006011,0.000229214
730621,-0.061513,0.042977,0.001001,0.013633,0.051026,NaN,0.018547,-0.002394,0.02713,0.008138,0.037876,0.034291,0.018702,0.000233199
730622,0.046436,0.053514,0.009333,-0.013449,0.057882,NaN,0.033582,0.046166,0.031747,0.001874,0.028442,0.043308,0.011732,0.000231388
730623,-0.040874,0.032848,-0.042272,-0.015036,-0.050044,NaN,-0.060939,-0.010367,0.010831,-0.026043,-0.012628,0.016073,-0.014596,0.000225951
730624,-0.006116,-0.092295,-0.045172,-0.025443,-0.031765,NaN,0.012533,-0.016779,0.006088,-0.02216,-0.065609,-0.042159,0.0007,0.000221232
730625,-0.066998,-0.049485,-0.035031,-0.019632,-0.047316,NaN,-0.041765,0.003583,-0.048975,-0.017072,-0.041062,-0.088561,-0.013798,0.000220142
730628,-0.043191,-0.01425,0.03387,-0.021304,0.152297,NaN,-0.02726,0.0264,0.004242,-0.013372,-0.032115,0.049372,-0.007933,0.000224499
730629,-0.04592,-0.100039,-0.085068,-0.043535,-0.148249,NaN,-0.016782,-0.017208,-0.071809,-0.015579,-0.07639,-0.062891,-0.011409,0.000224499
730630,0.021909,0.040051,0.090603,0.029813,0.120172,NaN,-0.017151,0.020956,0.068262,0.037506,0.025866,0.037529,0.01085,0.000221232
730631,-0.00479,-0.063015,-0.011428,-0.033149,-0.068801,NaN,-0.01998,-0.028462,-0.018574,-0.061928,0.034086,-0.063136,-0.020069,0.000218689
730632,-0.010313,0.021978,0.008073,-0.031314,0.023802,NaN,0.016086,0.004131,0.020575,-0.000976,0.008429,-0.025565,-0.00239,0.000217962
730636,0.013778,0.112903,0.089916,0.038226,0.082015,NaN,0.054013,0.037404,0.069667,0.031576,0.107313,0.044084,0.022365,0.000219415
730637,-0.040658,-0.066473,-0.049098,-0.019773,-0.066547,NaN,-0.034618,-0.03272,-0.008429,-0.012938,-0.031271,-0.033675,-0.000305,0.000210685
730638,0.060952,0.038915,0.070249,0,0.076886,NaN,0.116981,-0.012208,0.040099,0.031969,0.083484,0.061914,0.012343,0.000214689
730639,0.0386,NaN,0.056285,0.004173,0.145762,NaN,0.058696,0.026509,0.034698,0.027107,0.029793,0.120273,0.013383,0.000219415
730642,-0.013505,0.085874,-0.017399,-0.01293,-0.022671,NaN,0.065848,0.036761,-0.012147,0.008445,0.009353,0.020892,0.001903,0.00022341
730643,0.017085,-0.072294,-0.030672,0.04538,-0.048118,NaN,-0.0192,-0.0039,-0.022631,0.041125,-0.047937,-0.016386,-0.007372,0.000223773
730644,0.039733,0.024723,0.025608,0.012531,0.053057,NaN,0.038644,0.0768,-0.004785,0.01264,0.038152,0.069895,0.0072,0.000221232
730645,-0.018123,0.001351,0.012882,0.001326,-0.05197,NaN,0.027007,-0.010331,-0.021328,-0.023972,0.029625,-0.00346,-0.013331,0.000220869
730646,0.009915,NaN,0.010677,-0.005518,0.020923,NaN,0.016922,-0.000501,0.006894,0,0.003885,-0.005625,-0.005123,0.000221232
730649,-0.047624,-0.066307,-0.034799,-0.003995,-0.08717,NaN,-0.015625,-0.007102,-0.015741,-0.028194,-0.025759,-0.040156,-0.004697,0.000221595
730650,0.036298,0.011561,0.046193,0.004011,0.017812,NaN,-0.055556,0.003955,0.051495,0.014954,0.014027,0.014988,0.005568,0.000219779
730651,-0.042963,-0.052245,0.002923,0.025078,-0.077206,NaN,-0.042017,-0.027743,-0.038479,0.038751,-0.032929,0,0.006256,0.000217598
730652,0.02134,-0.002799,0.020095,0.016237,0.020876,NaN,0.026316,0.006983,0.014315,0.026525,0.044304,0.001362,0.002514,0.000218325
730653,-0.012775,-0.006694,0.019699,0.01193,-0.045738,NaN,-0.025128,-0.030477,-0.017076,0.002625,-0.007636,0.008948,-0.024533,0.000217962
730656,0.059546,-0.015,0.016664,0.043368,-0.020448,NaN,0.03428,0.06287,0.082818,0.015573,0.050446,-0.013339,0.010475,0.000218325
730657,0.04792,0.017877,-0.0264,-0.020178,0.040581,NaN,-0.01112,-0.033231,0.01326,0.016963,0.000581,0.064289,-0.01162,0.000216507
730658,0.098864,-0.001301,0.004768,0.029654,-0.008987,NaN,0.025751,-0.016069,0.004989,0.076728,0.001627,-0.035068,0.005997,0.000217235
730659,-0.033795,-0.088146,-0.042705,-0.03,-0.057652,NaN,-0.007866,-0.023493,-0.03554,-0.010162,-0.054415,-0.077866,-0.011053,0.000218325
730660,-0.038326,-0.193333,-0.029895,-0.021856,-0.074068,NaN,-0.012146,0.000537,0.002387,-0.027294,-0.02454,-0.048447,0.00276,0.000219052
730663,0.047204,0.001771,0.002874,0.032884,-0.026726,NaN,0.02459,0.022705,-0.001414,0.023298,0.040126,-0.047881,0.013286,0.000217598
730664,-0.043968,0.075427,-0.008916,-0.024286,0,NaN,-0.028167,-0.040731,-0.02094,-0.008679,-0.005321,0.05557,-0.003655,0.000217962
730665,0.051981,0.037808,0.021044,0.02489,-0.008391,NaN,0.061567,0.03672,0.007612,0.00165,0.008389,-0.018898,0.00234,0.000217235
730666,-0.058597,-0.020063,-0.037288,-0.012653,-0.005962,NaN,-0.032714,0.001934,-0.004759,-0.022169,-0.024958,-0.034396,-0.012325,0.000218689
730667,0.022049,-0.021821,0.038732,0.019223,0.050687,NaN,0.042756,-0.038947,0.014725,0.036404,0.039446,0.03822,0.004795,0.000219779
730670,0.017755,0.019003,0.016677,-0.00507,-0.027619,NaN,-0.004965,-0.000548,0.023861,0,-0.046039,0.032292,0.010795,0.000224136
730672,-0.031514,-0.013514,-0.042402,-0.033021,-0.042606,NaN,-0.037264,-0.041096,-0.038355,-0.01875,-0.098267,-0.055212,-0.007183,0.000223773
730673,0.003486,-0.012055,0.04638,0.006535,0.008703,NaN,-0.01045,-0.035714,0.037985,0.031083,0.045775,0.012913,-6.50E-05,0.000224862
730674,0.050762,0.001664,0.009575,0.061571,-0.02451,NaN,0.053899,0.03763,0.019615,0.013096,0.003306,-0.047969,0.014741,0.000225588
730677,0.049412,-0.029347,-0.034266,-0.018544,-0.03397,NaN,-0.008497,-0.016657,-0.010767,-0.03122,-0.023066,-0.055794,0.000997,0.000227764
730678,-0.003326,-0.055334,-0.01584,0.020101,-0.085726,NaN,0.023688,-0.01268,0.007256,-0.004028,-0.02442,-0.040909,0.007571,0.000227764
730679,0.034071,0.058575,0.028167,0.025813,0.19777,NaN,0.0139,0.025686,0.017146,0.01504,0.032914,0.184265,0.00524,0.000230301
730680,-0.040421,-0.001711,0.021446,0.016904,0.01539,NaN,0.050631,-0.005926,0.014165,-0.004607,0.014192,-0.019049,0.000492,0.000230663
730681,0.021062,0.217714,0.045977,0.002267,0.145022,NaN,-0.007933,-0.000577,0.024443,-0.012509,0.004884,0.044386,0.002228,0.000230301
730684,0.010747,-0.035195,0.020073,0.009423,-0.016343,NaN,0.007249,0.015009,-0.00259,-0.009501,0,0.028359,-0.000785,0.000229576
730685,-0.018179,0.015321,-0.034042,-0.006908,-0.044692,NaN,-0.028046,-0.020758,-0.022623,0.003965,-0.025355,-0.012839,-0.005779,0.000229939
730686,-0.079651,-0.020838,-0.006543,-0.034029,-0.010783,NaN,-0.009084,0.052657,-0.034056,-0.068535,-0.005931,0.031245,-0.003898,0.000230663
730687,0.046309,NaN,0.040263,0.027832,0.072433,NaN,0.001464,0.078161,0.033012,0.023113,0.059254,0.043358,0.013817,0.000230663
730688,-0.028478,0.005871,-0.019856,-0.008142,-0.036885,NaN,-0.046154,-0.021322,-0.031537,-0.033418,-0.034306,-0.010729,-0.010172,0.000228851
730691,-0.090926,-0.057636,-0.030241,-0.113402,-0.061617,NaN,-0.041855,-0.019608,-0.001375,-0.024201,-0.005832,-0.041573,-0.004513,0.00023175
730692,0.028137,-0.029161,0.031184,0.007967,0.020316,NaN,-0.028954,-0.004444,0.02087,-0.022109,0.013333,0.041038,0.00139,0.000231388
730693,0,-0.041467,0.006459,0.001495,-0.063289,NaN,-0.046546,-0.019018,-0.013345,-0.017246,0.009868,-0.014928,-0.017149,0.000230663
730694,0.038753,-0.129784,-0.008168,-0.029437,-0.056937,NaN,-0.036364,0.004005,-0.014388,0.023005,-0.02202,-0.01383,0.006623,0.000232112
730695,-0.070962,-0.043977,-0.076324,-0.03978,-0.056551,NaN,0.011792,0.013598,-0.057445,0.004613,-0.035838,-0.054528,-0.00708,0.000231388
730698,0.051749,0.004,0.041872,0.005722,0.066553,NaN,0.018648,0.003935,0.033842,0.001722,0.038966,0.015306,0.001028,0.000233923
730699,-0.029522,0.004316,-0.034383,-0.054165,-0.0288,NaN,-0.012632,-0.01559,-0.03191,-0.016044,-0.02753,-0.009713,0.008076,0.000233199
730700,-0.041777,0.018512,-0.035607,-0.048123,0.00659,NaN,0.042922,0.033937,-0.020272,0.0099,0,-0.002511,0.007667,0.000233199
730701,0.015873,0.022395,0.056285,0.034884,0.022913,NaN,-0.004444,0.015317,0.027958,0.012686,0.059081,0.032017,0.001895,0.000232475
730702,-0.012917,0.031746,0.018487,0.010747,0.015,NaN,-0.002232,-0.001121,-0.038426,-0.016085,0.053202,0.020962,0.005713,0.000232475
730705,0.011819,0.040308,0.010525,0.031658,-0.014778,NaN,0.031857,0.003797,0.006074,0.012731,0.003801,0.019113,0.009218,0.000234285
730706,-0.024823,-0.025732,-0.011321,-0.023425,0.005,NaN,0.004336,0.023128,-0.020813,0.058857,0.013802,-0.017363,0.010182,0.000233561
730707,0.016043,-0.062538,0.035267,0.002878,-0.006169,NaN,-0.017788,-0.00101,0.031316,0.001754,-0.019639,-0.010736,-0.006134,0.000233199
730708,0.001263,-0.014249,-0.06533,-0.001435,-0.021225,NaN,-0.013187,0.008421,-0.024544,-0.021953,-0.016099,-0.025473,0.000505,0.000233199
730709,0.002733,0.106767,0.014673,-0.097246,-0.007774,NaN,-0.020045,0.007265,0.029194,-0.002479,0.01324,-0.005259,0.011102,0.000234647
730712,-0.01321,0.035322,0.002954,-0.026532,-0.006392,NaN,0.040909,0.021804,0.049052,-0.003451,0.015409,0.029153,0.013452,0.000233923
730713,-0.007862,0.076835,-0.02031,0.03734,0.076572,NaN,-0.030568,-0.010142,0.013893,-0.007896,-0.013597,-0.000529,-0.009766,0.000234285
730714,0.038766,0.028222,-0.002057,0.009984,0.108327,NaN,0.005586,0.003033,0.002799,-0.008657,-0.000738,0.012773,-0.005065,0.000233923
730715,0.060619,-0.009581,0.006026,0.01795,0.096696,NaN,-0.024637,0.001062,0.029386,0.007887,0.033871,-0.021418,0.004292,0.000233923
730716,-0.027994,0.019608,0.000946,-0.009711,-0.127815,NaN,0.02875,-0.016816,0.007137,-0.007826,-0.031332,-0.045299,-0.000659,0.000233923
730719,0.01,-0.038462,0.031496,0,0.020545,NaN,-0.008929,0.008303,0.021259,-0.005352,0.023121,0.041936,0.003017,0.000235009
730720,0.023564,-0.026667,-0.010534,-0.033806,0.011046,NaN,0.018559,-0.000576,0.000833,0.008921,0.004448,-0.022539,0.005355,0.000234285
730721,0.050687,0.063288,0.036723,0.033387,0.018678,NaN,0.017159,0.01549,0.034664,-0.007018,-0.008258,0.04949,0.000904,0.000234647
730722,0.033143,0.014687,-0.010269,0.008012,0.061754,NaN,0.042348,0.012657,-0.004958,0.00523,0.021962,0.04484,0.003418,0.000234647
730723,0.012475,0.01422,-0.015038,-0.009487,0.013196,NaN,-0.009343,0.033571,-0.017643,-0.00703,-0.000827,-0.039768,0.000884,0.000235371
730726,0.022003,NaN,0.00855,0.022521,0.01206,NaN,0.010526,0.01938,0.01275,0.009771,0.025171,-0.090801,0.005379,0.000235733
730727,0.019463,NaN,0.007569,0.026835,-0.028758,NaN,-0.0005,0.010494,0.002572,-0.005189,0.011527,-0.008684,-0.003332,0.000235371
730728,0.005237,0.075113,0,-0.015286,-0.001145,NaN,-0.016175,-0.019341,-0.007561,-0.013251,0.005698,0.018595,-0.009587,0.000235733
730729,0.024202,-0.033535,0.03095,0.092389,0.015395,NaN,0.022373,0.013123,0.018639,-0.002714,0.030482,-0.014199,0.010096,0.000235371
730730,0.041024,0,-0.000874,-0.013064,0.014194,NaN,0.036141,0.012195,-0.012422,0.005443,0.018474,-0.062222,0.002111,0.000233923
730734,-0.015763,0.100964,-0.03734,-0.04784,0.073473,NaN,-0.01648,-0.018259,-0.06343,-0.000997,-0.016843,0.027909,0.001942,0.000233923
730735,-0.064061,0.004158,-0.026515,-0.036585,-0.027852,NaN,-0.023914,0.001906,-0.051264,-0.009698,-0.019877,-0.043204,0.004443,0.00023175
730736,0.060917,-0.051874,0.031128,0.017468,0.015239,NaN,0.03175,0.01476,0.026484,0.008929,0.021737,-0.04569,-0.004489,0.000231388
730737,-0.050323,-0.012874,-0.035774,-0.032595,-0.012309,NaN,-0.022696,-0.02909,-0.030694,-0.010705,-0.050773,-0.02637,-0.003483,0.000229214
730740,-0.007473,-0.013041,-0.04211,-0.01466,-0.015957,NaN,-0.057851,-0.03861,-0.010402,-0.007214,-0.036044,0.021033,-0.002242,0.000228126
730741,-0.011807,0.007315,-0.037751,-0.022709,-0.039537,NaN,-0.026316,0.004016,0.003865,-0.010028,-0.048778,0.00649,0.003371,0.000227401
